Nombre,Precio Inicial,Precio Final,Descuento
Outcast - Second Contact,14.99,1.49,90.06
Bee Simulator,19.99,1.99,90.05
SOMA,29.99,2.99,90.03
King's Bounty II - Duke's Edition,49.99,4.99,90.02
Tex Murphy: Under a Killing Moon,9.99,1.49,85.09
Tex Murphy: The Pandora Directive,9.99,1.49,85.09
Sleeping Dogs: Definitive Edition,19.99,2.99,85.04
Tomb Raider: Anniversary,8.99,1.61,82.09
Drakensang,9.99,1.99,80.08
Another World: 20th Anniversary Edition,9.99,1.99,80.08
Graveyard Keeper - Better Save Soul,9.99,1.99,80.08
Prince of Persia®: The Sands of Time,9.99,1.99,80.08
Graveyard Keeper - Stranger Sins,9.99,1.99,80.08
Graveyard Keeper,19.99,3.99,80.04
Tomb Raider GOTY,19.99,3.99,80.04
Rayman Origins,19.99,3.99,80.04
Kingdom Come: Deliverance Royal Edition,39.99,7.99,80.02
Tomb Raider: Legend,6.99,1.53,78.11
Blood Omen: Legacy of Kain,6.99,1.53,78.11
Rayman® Forever,5.99,1.49,75.13
